time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1667900291.392,SCAI-SENSEI,sensei-103,1.385,-0.061,0.252,1.698,2022-11-08 09:38:11.391999960
1667900291.402,SCAI-SENSEI,sensei-103,1.346,-0.084,0.256,1.6860000000000002,2022-11-08 09:38:11.401999950
1667900291.412,SCAI-SENSEI,sensei-103,1.287,-0.01,0.176,1.4729999999999999,2022-11-08 09:38:11.411999941
1667900291.422,SCAI-SENSEI,sensei-103,1.205,0.008,0.201,1.4140000000000001,2022-11-08 09:38:11.421999931
1667900291.432,SCAI-SENSEI,sensei-103,1.201,0.082,0.18,1.463,2022-11-08 09:38:11.431999922
1667900291.442,SCAI-SENSEI,sensei-103,1.18,0.098,0.137,1.415,2022-11-08 09:38:11.441999912
1667900291.452,SCAI-SENSEI,sensei-103,1.105,0.09,0.111,1.306,2022-11-08 09:38:11.451999903
1667900291.462,SCAI-SENSEI,sensei-103,1.08,0.092,0.055,1.227,2022-11-08 09:38:11.461999893
1667900291.472,SCAI-SENSEI,sensei-103,1.023,0.074,0.023,1.1199999999999999,2022-11-08 09:38:11.471999884
1667900291.482,SCAI-SENSEI,sensei-103,0.992,0.109,-0.027,1.128,2022-11-08 09:38:11.482000113
1667900291.492,SCAI-SENSEI,sensei-103,0.785,-0.066,0.0,0.851,2022-11-08 09:38:11.492000103
1667900291.502,SCAI-SENSEI,sensei-103,0.844,-0.088,-0.014,0.946,2022-11-08 09:38:11.502000093
1667900291.512,SCAI-SENSEI,sensei-103,0.83,-0.115,-0.061,1.006,2022-11-08 09:38:11.512000083
1667900291.522,SCAI-SENSEI,sensei-103,0.814,-0.166,-0.012,0.992,2022-11-08 09:38:11.522000074
1667900291.532,SCAI-SENSEI,sensei-103,0.77,-0.197,0.059,1.026,2022-11-08 09:38:11.532000064
1667900291.542,SCAI-SENSEI,sensei-103,0.777,-0.268,0.102,1.147,2022-11-08 09:38:11.542000055
1667900291.552,SCAI-SENSEI,sensei-103,0.82,-0.338,0.111,1.269,2022-11-08 09:38:11.552000046
